+──────+─────────+──────────+─────────+──────────+
| RAA  | Wins    | EFscore  | Salary  | Value    |
+──────+─────────+──────────+─────────+──────────+
| 377  | 1.355   | 0.231    |         | 1270355  |
| 347  | 1.25    | 0.297    | 125000  | 1209660  |
| 294  | 1.059   | 0.194    |         | 1099252  |
| 216  | 0.776   | 0.16     | 725000  | 935664   |
| 202  | 0.725   | 0.139    | 250000  | 906183   |
| 180  | 0.646   | 0.168    | 225000  | 860517   |
| 178  | 0.641   | 0.135    | 650000  | 857627   |
| 170  | 0.611   | 0.173    | 975000  | 840285   |
| 158  | 0.567   | 0.191    | 675000  | 814851   |
| 153  | 0.55    | 0.172    | 475000  | 805024   |
| 148  | 0.532   | 0.121    | 1500000 | 794619   |
| 142  | 0.509   | 0.125    | 750000  | 781324   |
| 137  | 0.493   | 0.12     | 150000  | 772075   |
| 136  | 0.489   | 0.08     | 375000  | 769763   |
| 125  | 0.451   | 0.086    |         | 747797   |
| 116  | 0.417   | 0.098    | 150000  | 728144   |
| 115  | 0.413   | 0.092    |         | 725831   |
| 115  | 0.413   | 0.065    | 250000  | 725831   |
| 109  | 0.393   | 0.062    | 700000  | 714270   |
| 101  | 0.362   | 0.1      |         | 696351   |
| 100  | 0.36    | 0.097    |         | 695195   |
| 96   | 0.345   | 0.062    | 200000  | 686524   |
| 92   | 0.332   | 0.123    | 700000  | 679009   |
| 90   | 0.324   | 0.136    |         | 674385   |
| 90   | 0.322   | 0.095    | 800000  | 673229   |
| 86   | 0.309   | 0.152    |         | 665714   |
| 81   | 0.29    | 0.09     | 700000  | 654731   |
| 78   | 0.279   | 0.089    |         | 648373   |
| 74   | 0.266   | 0.147    | 450000  | 640858   |
| 70   | 0.251   | 0.133    | 625000  | 632187   |
| 65   | 0.235   | 0.069    | 450000  | 622938   |
| 63   | 0.227   | 0.124    |         | 618314   |
| 61   | 0.22    | 0.148    | 925000  | 614268   |
| 61   | 0.219   | 0.134    | 400000  | 613689   |
| 58   | 0.21    | 0.051    | 425000  | 608487   |
| 55   | 0.198   | 0.068    |         | 601550   |
| 50   | 0.18    | 0.091    |         | 591145   |
| 50   | 0.179   | 0.045    |         | 590567   |
| 49   | 0.176   | 0.055    |         | 588833   |
| 48   | 0.173   | 0.043    | 150000  | 587099   |
| 47   | 0.168   | 0.114    |         | 584209   |
| 43   | 0.153   | 0.047    |         | 575538   |
| 32   | 0.117   | 0.055    |         | 554728   |
| 31   | 0.111   | 0.04     | 850000  | 551260   |
| 28   | 0.102   | 0.11     |         | 546058   |
| 28   | 0.099   | 0.04     |         | 544323   |
